# Frequency	Jx+	Jx-	Jy+	Jy-	Jz+	Jz-
100.7479266016	0.0133922875	0.0065455740	0.0106758490	0.0092620126	0.0088151055	0.0111227561
101.5169947436	0.0136463117	0.0067886734	0.0107784152	0.0096565699	0.0090968161	0.0113381690
102.2860628856	0.0139267604	0.0070032926	0.0109858332	0.0099442198	0.0093057067	0.0116243463
103.0551310276	0.0142508419	0.0072297179	0.0112777951	0.0102027647	0.0095299293	0.0119506305
103.8241991696	0.0144963662	0.0075571594	0.0115594314	0.0104940941	0.0097553506	0.0122981749
104.5932673116	0.0146692993	0.0079650144	0.0118326838	0.0108016299	0.0099993984	0.0126349152
105.3623354536	0.0147943763	0.0084522503	0.0121576119	0.0110890148	0.0103349030	0.0129117237
106.1314035956	0.0148591697	0.0090216745	0.0124843420	0.0113965022	0.0107360499	0.0131447943
106.9004717376	0.0149062214	0.0096404060	0.0127333637	0.0118132638	0.0111060870	0.0134405405
107.6695398796	0.0149529275	0.0103007291	0.0129358761	0.0123177804	0.0114459636	0.0138076929
108.4386080216	0.0149227323	0.0110943796	0.0130742082	0.0129429037	0.0117608369	0.0142562750
109.2076761636	0.0147953049	0.0120527540	0.0130553120	0.0137927470	0.0119769393	0.0148711197
109.9767443056	0.0146194306	0.0130391081	0.0129443486	0.0147141900	0.0120388103	0.0156197283
110.7458124476	0.0144392002	0.0140941623	0.0128800526	0.0156533099	0.0120294975	0.0165038650
111.5148805896	0.0143330270	0.0158135538	0.0135839976	0.0165625833	0.0121944585	0.0179521224
112.2839487316	0.0142322808	0.0177399567	0.0144376531	0.0175345844	0.0130319821	0.0189402554
113.0530168736	0.0145278994	0.0192222352	0.0145458227	0.0192043118	0.0130402614	0.0207098731
113.8220850156	0.0153338052	0.0201723734	0.0150242708	0.0204819078	0.0137687885	0.0217373902
114.5911531576	0.0161256701	0.0211550509	0.0160298500	0.0212508710	0.0148822573	0.0223984637
115.3602212996	0.0167251022	0.0226078010	0.0174856151	0.0218472882	0.0162857288	0.0230471744
